,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,title,artist,song_type,Cluster_KNN_2,Cluster_kmean
621,0.661,0.651,7.0,-3.771,0.0,0.0499,0.117,1.32e-05,0.056,0.368,87.46,audio_features,7FCfMXYTIiQ9b4hDYs4Iol,spotify:track:7FCfMXYTIiQ9b4hDYs4Iol,https://api.spotify.com/v1/tracks/7FCfMXYTIiQ9b4hDYs4Iol,https://api.spotify.com/v1/audio-analysis/7FCfMXYTIiQ9b4hDYs4Iol,202915.0,4.0,Be the One,Dua Lipa,nothot,6,6
622,0.479,0.717,7.0,-5.459,1.0,0.0605,0.0488,0.000333,0.102,0.253,163.989,audio_features,31L9yLXSj6LpCFupyMV6CR,spotify:track:31L9yLXSj6LpCFupyMV6CR,https://api.spotify.com/v1/tracks/31L9yLXSj6LpCFupyMV6CR,https://api.spotify.com/v1/audio-analysis/31L9yLXSj6LpCFupyMV6CR,405320.0,4.0,Up&Up,Coldplay,nothot,1,1
623,0.564,0.923,9.0,-3.843,0.0,0.0325,0.00147,0.0,0.277,0.587,141.991,audio_features,20NEld0MhrR4Zpgrf9brq8,spotify:track:20NEld0MhrR4Zpgrf9brq8,https://api.spotify.com/v1/tracks/20NEld0MhrR4Zpgrf9brq8,https://api.spotify.com/v1/audio-analysis/20NEld0MhrR4Zpgrf9brq8,234526.0,4.0,Ship To Wreck,Florence + The Machine,nothot,1,1
624,0.609,0.378,4.0,-9.828,1.0,0.438,0.835,0.0,0.28,0.515,100.418,audio_features,50kpGaPAhYJ3sGmk6vplg0,spotify:track:50kpGaPAhYJ3sGmk6vplg0,https://api.spotify.com/v1/tracks/50kpGaPAhYJ3sGmk6vplg0,https://api.spotify.com/v1/audio-analysis/50kpGaPAhYJ3sGmk6vplg0,233720.0,4.0,Love Yourself,Justin Bieber,nothot,7,7
625,0.321,0.64,2.0,-10.023,1.0,0.0324,0.28,0.0,0.718,0.414,146.172,audio_features,27RYrbL6S02LNVhDWVl38b,spotify:track:27RYrbL6S02LNVhDWVl38b,https://api.spotify.com/v1/tracks/27RYrbL6S02LNVhDWVl38b,https://api.spotify.com/v1/audio-analysis/27RYrbL6S02LNVhDWVl38b,214333.0,3.0,Happy Xmas (War Is Over),John Lennon,nothot,9,9
626,0.629,0.58,7.0,-6.208,0.0,0.0278,0.357,0.000353,0.436,0.655,110.264,audio_features,7KX65PC1UZuImsUInThbav,spotify:track:7KX65PC1UZuImsUInThbav,https://api.spotify.com/v1/tracks/7KX65PC1UZuImsUInThbav,https://api.spotify.com/v1/audio-analysis/7KX65PC1UZuImsUInThbav,210300.0,4.0,Cold Little Heart,Michael Kiwanuka,nothot,10,10
627,0.176,0.455,3.0,-8.6,1.0,0.0358,0.737,0.000524,0.0926,0.129,170.217,audio_features,07rjmFuB0I2O1UuIPnu6Qj,spotify:track:07rjmFuB0I2O1UuIPnu6Qj,https://api.spotify.com/v1/tracks/07rjmFuB0I2O1UuIPnu6Qj,https://api.spotify.com/v1/audio-analysis/07rjmFuB0I2O1UuIPnu6Qj,266587.0,4.0,Barcelona,Freddie Mercury,nothot,2,2
628,0.673,0.727,9.0,-6.587,0.0,0.0401,0.282,0.0,0.178,0.782,121.016,audio_features,4lBkLeU6LNgWzfbWPGm1c9,spotify:track:4lBkLeU6LNgWzfbWPGm1c9,https://api.spotify.com/v1/tracks/4lBkLeU6LNgWzfbWPGm1c9,https://api.spotify.com/v1/audio-analysis/4lBkLeU6LNgWzfbWPGm1c9,217903.0,4.0,Leef,André Hazes Jr.,nothot,10,10
629,0.578,0.43,5.0,-6.134,0.0,0.0305,0.33,0.0,0.0854,0.288,78.991,audio_features,62PaSfnXSMyLshYJrlTuL3,spotify:track:62PaSfnXSMyLshYJrlTuL3,https://api.spotify.com/v1/tracks/62PaSfnXSMyLshYJrlTuL3,https://api.spotify.com/v1/audio-analysis/62PaSfnXSMyLshYJrlTuL3,295502.0,4.0,Hello,Adele,nothot,8,8
630,0.58,0.498,1.0,-6.901,1.0,0.0277,0.198,0.0,0.132,0.111,116.271,audio_features,63CHa6rmamv9OsehkRD8oz,spotify:track:63CHa6rmamv9OsehkRD8oz,https://api.spotify.com/v1/tracks/63CHa6rmamv9OsehkRD8oz,https://api.spotify.com/v1/audio-analysis/63CHa6rmamv9OsehkRD8oz,206360.0,4.0,Against All Odds (Take a Look at Me Now) - 2016 Remaster,Phil Collins,nothot,6,6
